Folding Job / Main Jib angle,0,6.86,13.71,20.57,27.43,34.29,41.14,48,54.86,61.71,68.57,75.43,82.29,84
0,9.63,11.23,13.44,16.53,20.91,27.37,37.54,55.4,93.89,140,140,140,114.99,107.7
8.33,23.74,27.22,32.09,39.04,49.41,66.03,96.2,121.39,127.62,135.09,140,120.72,95.34,90.55
16.65,39.31,45.93,55.45,69.84,93.39,102.75,105.88,110.56,116.74,124.32,114.53,91.2,76.1,73.15
24.98,57.69,69.72,88.13,91.46,90.88,92.07,95.02,99.69,106,108.97,87.44,73.55,63.95,62.03
33.31,81.68,88.48,83.82,81.02,80.51,81.2,84.16,89,95.63,83.99,71.2,62.29,55.95,54.66
41.63,78.57,79.51,76.61,74.87,74.31,74.94,76.74,79.7,80.82,69.02,60.75,54.84,50.63,49.79
49.96,71.91,73.48,70.45,68.67,68.15,68.91,70.94,74.2,67,59.31,53.81,49.91,47.23,46.72
58.29,66.11,67.3,64.25,62.53,62.16,63.16,65.51,65.13,57.97,52.86,49.24,46.79,45.31,45.07
66.61,61.11,61.1,58.13,56.58,56.48,57.81,60.57,56.73,51.97,48.62,46.39,45.1,44.65,44.66
74.94,56.84,55.01,52.24,50.96,51.21,52.98,55.57,51.15,48.06,46.04,44.94,44.66,44.72,44.66
83.27,53.2,49.17,46.8,46.23,46.67,48.76,50.38,47.54,45.73,44.81,44.7,44.66,44.89,45.08
91.59,47.42,44.91,43.59,43.31,44.08,45.89,47.07,45.46,44.72,44.78,44.65,45.05,46.27,46.71
99.92,43.86,41.76,40.74,40.8,41.94,44.16,45.23,44.66,44.89,44.67,45.24,46.64,48.96,49.71
102,43.05,41.03,40.09,40.24,41.49,43.81,44.97,44.65,44.74,44.75,45.57,47.24,49.87,50.7
