folding / main jib angle;0;6.86;13.71;20.57;27.43;34.29;41.14;48;54.86;61.71;68.57;75.43;82.29;84
0;-1.37;0.52;2.48;4.46;6.44;8.41;10.31;12.14;13.87;15.46;16.7;17.76;18.64;18.83
8.33;-2.77;-0.74;1.36;3.51;5.67;7.83;9.93;11.97;13.86;15.46;16.9;18.16;19.24;19.47
16.65;-4;-1.83;0.44;2.77;5.13;7.49;9.8;11.96;13.9;15.7;17.34;18.8;20.06;20.35
24.98;-5.05;-2.7;-0.25;2.28;4.84;7.4;9.8;12.04;14.18;16.18;18.02;19.67;21.1;21.43
33.31;-5.89;-3.35;-0.7;2.03;4.8;7.4;9.92;12.37;14.71;16.9;18.93;20.75;22.33;22.69
41.63;-6.5;-3.76;-0.91;2.02;4.79;7.56;10.29;12.94;15.47;17.85;20.04;22.01;23.73;24.12
49.96;-6.86;-3.93;-0.91;2.03;5;7.98;10.9;13.74;16.45;18.99;21.33;23.43;25.26;25.67
58.29;-6.98;-3.93;-0.86;2.28;5.46;8.63;11.74;14.76;17.63;20.31;22.77;24.98;26.89;27.32
66.61;-6.99;-3.84;-0.57;2.78;6.16;9.51;12.8;15.97;18.97;21.78;24.34;26.62;28.59;29.03
74.94;-6.85;-3.49;-0.02;3.52;7.07;10.6;14.04;17.34;20.47;23.37;26;28.33;30.32;30.76
83.27;-6.46;-2.91;0.75;4.47;8.2;11.87;15.44;18.86;22.07;25.04;27.71;30.06;32.05;32.48
91.59;-5.84;-2.09;1.74;5.63;9.5;13.3;16.97;20.48;23.75;26.76;29.45;31.78;33.73;34.16
99.92;-4.98;-1.07;2.93;6.96;10.95;14.85;18.61;22.17;25.48;28.49;31.17;33.46;35.34;35.75
102;-4.74;-0.78;3.26;7.31;11.33;15.26;19.03;22.6;25.91;28.92;31.59;33.87;35.73;36.13
